smog_data
"ZESPÓŁ EDUKACYJNY W KONOTOPIE, PL. POWSTAŃCÓW WIELKOPOLSKICH, 67-416, KONOTOP, 15.9031, 51.93023, 76.33333333333333, 1007.6, 14.799999999999999, 3.333333333333333, 1.753333333333333, 2026-07-06 07:01:40"
"PRZEDSZKOLE NR 6 W BOCHNI, MUROWIANKA, 32-700, BOCHNIA, 20.4415, 49.96533, 77.3, 1002.1333333333333, 15.766666666666666, 3.9, 2.116666666666666, 2026-07-06 07:01:40"
"PUBLICZNA SZKOŁA PODSTAWOWA W SZYMISZOWIE, SZKOLNA, 47-161, SZYMISZÓW, 18.21983, 50.53656, 91.66666666666667, 991.9666666666667, 15.133333333333333, 4.133333333333334, 2.023333333333333, 2026-07-06 07:01:40"
"PUBLICZNA SZKOŁA PODSTAWOWA W ROZMIERCE, SZKOLNA, 47-171, ROZMIERKA, 18.26905, 50.560720, 85.83333333333333, 1019.9666666666667, 16.599999999999998, 2.633333333333333, 1.506666666666666, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KUROWICACH FILIA W WOLI RAKOWEJ, SZKOLNA, 95-006, WOLA RAKOWA, 19.61157, 51.67447, 99.90000000000002, 990.0333333333333, 11.433333333333332, 1.033333333333333, 0.6000000000000001, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 8 IM. JÓZEFA WESZKI W RUDOŁTOWICACH, KRZYWOŃ, 43-220, RUDOŁTOWICE, 19.00171, 49.95711, 99.90000000000002, 995.5, 15.633333333333333, 1.4666666666666661, 0.7866666666666661, 2026-07-06 07:01:40"
"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W WIŚLE WIELKIEJ, HODOWCÓW, 43-243, WISŁA WIELKA, 18.85320, 49.95291, 99.90000000000002, 988.4666666666667, 14.633333333333333, 3.433333333333333, 1.94, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA IM. MARKA PRAWEGO W JEMIELNICY, SZKOLNA, 47-133, JEMIELNICA, 18.380122, 50.548993, 99.66666666666667, 993.1, 15.933333333333335, 4.7666666666666675, 2.44, 2026-07-06 07:01:40"
"SZKOŁA PODSTAWOWA NR 2 IM. ŚW. JADWIGI ŚLĄSKIEJ W PSZCZYNIE, KATOWICKA, 43-200, PSZCZYNA, 18.947994, 49.992568, 98.0, 992.5333333333333, 14.733333333333334, 3.0, 1.623333333333333, 2026-07-06 07:01:40"
"ZESPÓŁ SZKÓŁ SPECJALNYCH W OSTROWCU ŚWIĘTOKRZYSKIM, IŁZECKA, 27-400, OSTROWIEC ŚWIĘTOKRZYSKI, 21.386931, 50.942931, 99.90000000000002, 1004.8333333333334, 12.6, 6.7, 3.786666666666666, 2026-07-06 07:01:40"
