NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 998.4666666666667, 0.0,1.933333333333333,1.103333333333333, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 50.627272727272725, 972.3454545454545, 29.954545454545453,10.954545454545457,9.818181818181818, 2026-07-17 21:37:05
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 41.233333333333334, 992.3333333333334, 32.666666666666664,6.899999999999999,4.02, 2026-07-17 21:37:05
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 56.13333333333333, 979.6333333333333, 30.833333333333332,9.866666666666667,5.533333333333334, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 41.199999999999996, 985.4, 32.5,9.133333333333333,5.616666666666667, 2026-07-17 21:37:05
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 41.23333333333333, 987.7000000000002, 32.23333333333333,6.399999999999999,3.883333333333333, 2026-07-17 21:37:05
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 44.56666666666666, 984.1, 34.53333333333333,6.6,3.583333333333333, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 89.23333333333333, 988.3000000000001, 23.3,3.833333333333333,1.963333333333333, 2026-07-17 21:37:05
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 69.3, 1002.5666666666666, 22.866666666666664,5.366666666666667,3.086666666666666, 2026-07-17 21:37:05
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW,17.66024,51.58063, 97.76666666666667, 994.3666666666667, 20.166666666666668,10.733333333333334,6.35, 2026-07-17 21:37:05
ZESPÓŁ SZKÓŁ W PIOTROWIE, , 62-814, PIOTRÓW,18.05485,51.8157, 80.56666666666666, 995.6666666666666, 23.233333333333334,6.066666666666666,3.4866666666666672, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA W CZARNYMLESIE, , 63-421, CZARNYLAS,17.762604,51.508366, 78.06666666666666, 989.9333333333334, 23.733333333333334,2.8,1.5599999999999992, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ,16.878431,52.346672, 73.73333333333333, 1000.7333333333332, 24.8,5.3,2.869999999999999, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW,18.0786,51.4189, 71.33333333333333, 1012.7666666666668, 25.46666666666667,5.966666666666666,3.436666666666666, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC,19.6757,51.6918, 46.300000000000004, 979.5666666666666, 32.63333333333333,5.466666666666666,3.013333333333333, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN,17.645437,51.91866, 99.90000000000002, 992.1, 21.333333333333332,0.066666666666666,0.016666666666666, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE, KALINOWA, 48-385, OTMUCHÓW,17.213,50.46535, 99.90000000000002, 990.5666666666666, 21.099999999999998,12.733333333333334,7.346666666666667, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W KAŁKOWIE, , 48-364, KAŁKÓW,17.185241,50.4042, 86.26666666666667, 986.3333333333334, 20.633333333333333,7.733333333333333,4.34, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA W MACIEJOWICACH, , 48-385, MACIEJOWICE,17.13497,50.4998, 99.86666666666667, 976.6333333333333, 21.866666666666664,3.7,2.016666666666666, 2026-07-17 21:37:05
TEST SZKOŁA, ul Testowa, 00-000, TESTCITY,-157.52969778504766,1.8586845937815497, 42.46666666666667, 992.3000000000001, 33.56666666666667,7.066666666666666,4.043333333333333, 2026-07-17 21:37:05
ZESPÓŁ EDUKACYJNY W KONOTOPIE, PL. POWSTAŃCÓW WIELKOPOLSKICH, 67-416, KONOTOP,15.9031,51.93023, 73.36666666666666, 1000.7666666666668, 25.8,7.399999999999999,3.783333333333333, 2026-07-17 21:37:05
PRZEDSZKOLE NR 6 W BOCHNI, MUROWIANKA, 32-700, BOCHNIA,20.4415,49.96533, 53.06666666666666, 997.0, 31.733333333333334,8.066666666666666,4.386666666666667, 2026-07-17 21:37:05
PUBLICZNA SZKOŁA PODSTAWOWA W SZYMISZOWIE, SZKOLNA, 47-161, SZYMISZÓW,18.21983,50.53656, 63.0, 988.5, 19.53333333333333,7.566666666666666,4.683333333333334, 2026-07-17 21:37:05
PUBLICZNA SZKOŁA PODSTAWOWA W ROZMIERCE, SZKOLNA, 47-171, ROZMIERKA,18.26905,50.56072, 74.73333333333333, 1015.8333333333334, 21.46666666666667,4.1,2.223333333333333, 2026-07-17 21:37:05
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KUROWICACH FILIA W WOLI RAKOWEJ, SZKOLNA, 95-006, WOLA RAKOWA,19.61157,51.67447, 44.26666666666667, 986.3333333333334, 31.666666666666668,2.5,1.136666666666666, 2026-07-17 21:37:05
