NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1001.1, 0.0,21.366666666666664,11.546666666666669, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 41.03333333333333, 974.5416666666666, 32.00833333333333,9.508333333333333,8.508333333333333, 2026-07-17 17:39:09
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 39.96666666666667, 995.1, 33.699999999999996,6.933333333333335,3.753333333333333, 2026-07-17 17:39:09
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 47.300000000000004, 981.6999999999999, 34.1,8.466666666666667,5.536666666666666, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 37.63333333333333, 987.7333333333332, 34.300000000000004,8.9,5.1, 2026-07-17 17:39:09
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 36.36666666666667, 989.6999999999999, 35.5,6.533333333333334,3.423333333333333, 2026-07-17 17:39:09
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 46.63333333333333, 986.5, 33.666666666666664,7.0,3.6966666666666654, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 62.4, 986.7666666666668, 29.3,10.1,5.75, 2026-07-17 17:39:09
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 35.333333333333336, 1003.6999999999999, 33.46666666666667,6.899999999999999,4.036666666666666, 2026-07-17 17:39:09
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW,17.66024,51.58063, 40.23333333333333, 994.4333333333334, 32.9,15.566666666666668,9.63, 2026-07-17 17:39:09
ZESPÓŁ SZKÓŁ W PIOTROWIE, , 62-814, PIOTRÓW,18.05485,51.8157, 33.300000000000004, 995.2666666666668, 36.96666666666667,5.733333333333333,3.123333333333333, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA W CZARNYMLESIE, , 63-421, CZARNYLAS,17.762604,51.508366, 39.96666666666667, 989.0, 33.0,3.733333333333333,1.876666666666666, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ,16.878431,52.346672, 60.56666666666666, 1002.5333333333333, 30.5,11.266666666666666,6.343333333333334, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW,18.0786,51.4189, 33.9, 1012.2333333333332, 36.96666666666667,4.7,2.4866666666666672, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC,19.6757,51.6918, 47.13333333333333, 981.1999999999999, 34.199999999999996,6.633333333333333,3.006666666666666, 2026-07-17 17:39:09
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN,17.645437,51.91866, 55.9, 993.4, 30.96666666666667,0.966666666666666,0.61, 2026-07-17 17:39:09
