NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1008.4333333333334, 0.0,0.233333333333333,0.14, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 39.63333333333333, 978.375, 23.400000000000002,3.041666666666666,2.716666666666667, 2026-07-20 20:06:22
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 29.166666666666668, 1000.0, 28.8,0.133333333333333,0.083333333333333, 2026-07-20 20:06:22
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.90000000000002, 992.4, 16.4,21.3,11.15, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 50.1, 986.1333333333333, 23.333333333333332,1.533333333333333,0.7966666666666661, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 27.96666666666667, 992.1333333333333, 27.400000000000002,0.6333333333333331,0.33, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 35.5, 995.0666666666666, 24.433333333333334,1.9,1.03, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 32.800000000000004, 991.1, 27.900000000000002,0.9333333333333332,0.529999999999999, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 87.03333333333335, 993.3666666666667, 18.933333333333334,1.266666666666666,0.636666666666666, 2026-07-20 20:06:22
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 87.33333333333333, 1005.0, 14.866666666666667,1.099999999999999,0.603333333333333, 2026-07-20 20:06:22
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW,17.66024,51.58063, 73.43333333333332, 1000.8666666666667, 18.366666666666667,1.966666666666666,1.0, 2026-07-20 20:06:22
ZESPÓŁ SZKÓŁ W PIOTROWIE, , 62-814, PIOTRÓW,18.05485,51.8157, 69.10000000000001, 1001.1999999999999, 18.599999999999998,0.166666666666666,0.099999999999999, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA W CZARNYMLESIE, , 63-421, CZARNYLAS,17.762604,51.508366, 77.53333333333333, 995.9333333333334, 16.866666666666667,0.0,0.0, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ,16.878431,52.346672, 71.0, 1006.4333333333334, 21.400000000000002,0.466666666666666,0.253333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW,18.0786,51.4189, 69.2, 1019.6, 17.900000000000002,0.033333333333333,0.02, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC,19.6757,51.6918, 78.0, 985.4333333333334, 22.833333333333332,1.033333333333333,0.58, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN,17.645437,51.91866, 89.60000000000001, 997.6999999999999, 18.433333333333334,0.0,0.0, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE, KALINOWA, 48-385, OTMUCHÓW,17.213,50.46535, 53.4, 996.0, 21.333333333333332,4.8,2.763333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W KAŁKOWIE, , 48-364, KAŁKÓW,17.185241,50.4042, 38.833333333333336, 990.9, 22.400000000000002,0.533333333333333,0.296666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA W MACIEJOWICACH, , 48-385, MACIEJOWICE,17.13497,50.4998, 45.699999999999996, 982.4666666666667, 21.53333333333333,0.0,0.0, 2026-07-20 20:06:22
TEST SZKOŁA, ul Testowa, 00-000, TESTCITY,-157.52969778504766,1.8586845937815497, 37.266666666666666, 999.1333333333333, 25.166666666666668,2.3666666666666663,1.303333333333333, 2026-07-20 20:06:22
ZESPÓŁ EDUKACYJNY W KONOTOPIE, PL. POWSTAŃCÓW WIELKOPOLSKICH, 67-416, KONOTOP,15.9031,51.93023, 54.53333333333333, 1007.9, 21.666666666666668,0.5,0.29, 2026-07-20 20:06:22
PRZEDSZKOLE NR 6 W BOCHNI, MUROWIANKA, 32-700, BOCHNIA,20.4415,49.96533, 35.833333333333336, 1003.9333333333334, 24.53333333333333,1.966666666666666,1.066666666666666, 2026-07-20 20:06:22
PUBLICZNA SZKOŁA PODSTAWOWA W SZYMISZOWIE, SZKOLNA, 47-161, SZYMISZÓW,18.21983,50.53656, 50.0, 993.0333333333333, 21.96666666666667,0.866666666666666,0.506666666666666, 2026-07-20 20:06:22
PUBLICZNA SZKOŁA PODSTAWOWA W ROZMIERCE, SZKOLNA, 47-171, ROZMIERKA,18.26905,50.56072, 1.0, 1021.5, 21.3,0.066666666666666,0.033333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KUROWICACH FILIA W WOLI RAKOWEJ, SZKOLNA, 95-006, WOLA RAKOWA,19.61157,51.67447, 83.43333333333334, 992.0, 20.033333333333335,0.3,0.166666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 8 IM. JÓZEFA WESZKI W RUDOŁTOWICACH, KRZYWOŃ, 43-220, RUDOŁTOWICE,19.00171,49.95711, 99.90000000000002, 996.7999999999998, 14.1,11.1,5.32, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W WIŚLE WIELKIEJ, HODOWCÓW, 43-243, WISŁA WIELKA,18.8532,49.95291, 46.46666666666667, 989.6333333333333, 22.566666666666666,0.9333333333333332,0.52, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. MARKA PRAWEGO W JEMIELNICY, SZKOLNA, 47-133, JEMIELNICA,18.380122,50.548993, 54.53333333333334, 995.9666666666667, 21.366666666666664,1.366666666666666,0.746666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 2 IM. ŚW. JADWIGI ŚLĄSKIEJ W PSZCZYNIE, KATOWICKA, 43-200, PSZCZYNA,18.947994,49.992568, 38.46666666666667, 993.6, 25.599999999999998,0.466666666666666,0.276666666666666, 2026-07-20 20:06:22
ZESPÓŁ SZKÓŁ SPECJALNYCH W OSTROWCU ŚWIĘTOKRZYSKIM, IŁZECKA, 27-400, OSTROWIEC ŚWIĘTOKRZYSKI,21.386931,50.942931, 99.90000000000002, 1006.9666666666667, 24.53333333333333,1.266666666666666,0.7433333333333331, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W JANKOWICACH, BAZIOWA, 43-215, JANKOWICE,18.989423,50.002529, 29.0, 936.9, 23.3,28.0,17.0, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 4 IM. JÓZEFA PUKOWCA W PSZCZYNIE, ZYGMUNTA KRASIŃSKIEGO, 43-200, PSZCZYNA,18.961125,49.971182, 42.03333333333333, 988.6, 22.666666666666668,4.766666666666668,2.793333333333333, 2026-07-20 20:06:22
ZESPÓŁ SZKÓŁ W OTMUCHOWIE, KRAKOWSKA, 48-385, OTMUCHÓW,17.167634,50.4705, 34.13333333333333, 988.7333333333332, 23.933333333333334,0.199999999999999,0.146666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 60IM. IGNACEGO ŁUKASZEWICZA W CZECHOWICACH-DZIEDZICACH, UL. ŁUKASIEWICZA, 43-502, CZECHWICE-DZIEDZICE,19.016493,49.899404, 33.03333333333333, 980.6, 23.166666666666668,0.5,0.266666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 4 IM. GUSTAWA MORCINKA W SŁUPSKU, UL. LESZCZYŃSKIEGO, 76-200, SŁUPSK,17.005017,54.475286, 83.93333333333334, 1006.1999999999999, 15.733333333333334,1.4,0.746666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA W KLESZCZOWIE, UL. SZKOLNA, 44-164, KLESZCZÓW,18.52751,50.344057, 61.9, 992.9, 21.2,0.0,0.0, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 5 IM. GRYFITÓW W SŁUPSKU, UL. HUBALCZYKÓW, 76-200, SŁUPSK,17.062723,54.455744, 86.66666666666667, 1005.0333333333333, 14.833333333333334,1.133333333333333,0.586666666666666, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W POTĘPIE, UL. TARNOGÓRSKA, 42-693, POTĘPA,18.662519,50.565309, 99.90000000000002, 1011.9, 20.866666666666664,0.6333333333333331,0.32, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. MIKOŁAJA REJA W GORZYCZKACH, UL. WIEJSKA, 44-350, GORZYCZKI,18.399689,49.944774, 44.53333333333333, 987.5666666666666, 22.5,0.066666666666666,0.036666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 6 IM. LUDWIKA WARYŃSKIEGO W SŁUPSKU, UL. STARZYŃSKIEGO, 76-200, SŁUPSK,17.023811,54.46598, 99.90000000000002, 1009.7666666666668, 15.066666666666668,0.233333333333333,0.126666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W KOBIÓRZE, UL. TUWIMA, 43-210, KOBIÓR,18.930274,50.060752, 99.90000000000002, 989.8333333333334, 23.099999999999998,3.633333333333333,2.223333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA W PONISZOWICACH, UL. GLIWICKA, 44-172, PONISZOWICE,18.458674,50.40922, 50.300000000000004, 987.6, 24.2,0.0,0.0, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SOKOŁOWICACH, SOKOŁOWICE, 56-400, SOKOŁOWICE,17.4469,51.245, 83.5, 994.6666666666666, 17.033333333333335,2.566666666666666,1.373333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. UNICEF W LIGOCIE MAŁEJ, LIGOTA MAŁA, 56-400, LIGOTA MAŁA,17.365476,51.142467, 25.599999999999998, 968.7333333333332, 31.433333333333334,3.633333333333333,2.193333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA GMINY OLEŚNICA W OLEŚNICY, WILEŃSKA, 56-400, OLEŚNICA,17.41034,51.2095, 99.90000000000002, 1006.9333333333334, 21.033333333333335,0.133333333333333,0.076666666666666, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA NR 19 W BRZEŹCACH, POKOJU, 43-200, BRZEŹCE,18.832539,49.984943, 28.400000000000002, 988.0666666666666, 27.96666666666667,0.766666666666666,0.43, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W RADOSTOWIE ŚREDNIM, RADOSTÓW ŚREDNI, 59-800, RADOSTÓW ŚREDNI,15.36293,51.12153, 27.5, 983.0, 28.3,0.5,0.28, 2026-07-20 20:06:22
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W KOŚCIELNIKU, KOŚCIELNIK, 59-800, KOŚCIELNIK,15.29682,51.08393, 61.9, 995.9, 17.5,0.3,0.15, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. POLSKICH ODKRYWCÓW I PODRÓŻNIKÓW W KOBIERZYCACH, PARKOWA, 55-040, KOBIERZYCE,16.933169,50.971851, 82.13333333333334, 988.9666666666666, 16.599999999999998,1.399999999999999,0.779999999999999, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. UNICEF W BIELANACH WROCŁAWSKICH, AKACJOWA, 55-040, BIELANY WROCŁAWSKIE,16.971022,51.03812, 62.43333333333334, 1001.5666666666666, 18.7,2.233333333333333,1.349999999999999, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W WYSOKIEJ, CHABROWA, 52-200, WYSOKA,17.007729,51.047504, 86.26666666666665, 996.9666666666667, 20.266666666666666,0.3,0.153333333333333, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. TADEUSZA MAZOWIECKIEGO W TYŃCU MAŁYM, SZKOLNA, 55-040, TYNIEC MAŁY,16.909195,51.0216, 67.8, 1019.16, 2.5,39.96,21.93, 2026-07-20 20:06:22
SZKOŁA PODSTAWOWA IM. ROMUALDA TRAUGUTTA W PUSTKOWIE ŻURAWSKIM, KOLEJOWA, 55-040, PUSTKÓW ŻURAWSKI,16.859465,50.958878, 99.90000000000002, 996.0, 22.166666666666668,0.766666666666666,0.386666666666666, 2026-07-20 20:06:22
