NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH, UL. SZKOLNA, 63-522, KRASZEWICE,18.22403,51.51563, 0.1, 1004.5666666666666, 0.0,0.199999999999999,0.116666666666666, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA WE WRZĄSOWICACH, UL. SZKOLNA, 32-040, WRZĄSOWICE,19.94282,49.96103, 84.625, 974.5666666666666, 15.525,3.449999999999999,3.058333333333333, 2026-07-23 12:49:12
ZESPÓŁ SZKÓŁ NR 1 W PSZCZYNIE, UL. KAZIMIERZA WIELKIEGO, 43-200, PSZCZYNA,18.9457058,49.965883, 86.975, 996.25, 19.4,2.225,1.155, 2026-07-23 12:49:12
ZESPÓŁ SZKÓŁ IM. POWSTAŃCÓW WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM, SZKOLNA, 63-421, JANKÓW PRZYGODZKI,17.7889069,51.596172, 99.9, 992.4, 16.4,21.3,11.15, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 7 IM. ŻOŁNIERZY WRZEŚNIA W ĆWIKLICACH, UL. MĘCZENNIKÓW OŚWIĘCIMSKICH, 43-229, ĆWIKLICE,18.989839,49.971937, 76.575, 982.4, 22.625,3.15,1.8225, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 12 W STUDZIONCE, UL. JORDANA, 43-245, STUDZIONKA,18.774985,49.9603559, 73.175, 988.7, 17.95,4.975,2.9450000000000003, 2026-07-23 12:49:12
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W PIASKU, SZKOLNA, 43-211, PIASEK,18.94634,50.00955, 66.025, 991.0, 20.025,3.1,1.64, 2026-07-23 12:49:12
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W ŁĄCE, FITELBERGA, 43-241, ŁĄKA,18.906757,49.9582444, 99.425, 987.75, 17.9,4.449999999999999,2.65, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 3 W LUBONIU, ARMII POZNAŃ, 62-030, LUBOŃ,16.8968,52.3481, 99.9, 993.825, 17.150000000000002,1.825,1.025, 2026-07-23 12:49:12
ZESPÓŁ SZKÓŁ PONADGIMNAZJALNYCH CENTRUM KSZTAŁCENIA USTAWICZNEGO W PRZYGODZICACH, PTR, 63-421, PRZYGODZICE,17.822685,51.59023, 87.33333333333333, 1002.1666666666666, 16.433333333333334,1.066666666666666,0.576666666666666, 2026-07-23 12:49:12
LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA JAGIEŁŁY W ODOLANOWIE, KROTOSZYŃSKA, 63-430, ODOLANÓW,17.66024,51.58063, 99.9, 995.425, 16.075000000000003,7.75,4.1925, 2026-07-23 12:49:12
ZESPÓŁ SZKÓŁ W PIOTROWIE, , 62-814, PIOTRÓW,18.05485,51.8157, 86.45, 996.025, 17.125,2.275,1.28, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA W CZARNYMLESIE, , 63-421, CZARNYLAS,17.762604,51.508366, 81.96666666666667, 991.2333333333332, 16.03333333333333,0.033333333333333,0.016666666666666, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU, ŻABIKOWSKA, 62-030, LUBOŃ,16.878431,52.346672, 98.96666666666665, 1002.9, 18.233333333333334,1.533333333333333,0.7333333333333331, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W DORUCHOWIE, KALISKA, 63-505, DORUCHÓW,18.0786,51.4189, 80.625, 1014.9000000000001, 17.425,0.1,0.05, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W BUKOWCU, SZKOLNA, 95-006, BUKOWIEC,19.6757,51.6918, 99.90000000000002, 980.9, 17.566666666666666,1.266666666666666,0.77, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE, MARII KONOPNICKIEJ, 63-220, KOTLIN,17.645437,51.91866, 99.90000000000002, 993.4333333333334, 18.5,0.266666666666666,0.143333333333333, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 2 W OTMUCHOWIE, KALINOWA, 48-385, OTMUCHÓW,17.213,50.46535, 95.53333333333335, 992.3666666666667, 18.733333333333334,2.0,0.86, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W KAŁKOWIE, , 48-364, KAŁKÓW,17.185241,50.4042, 54.43333333333334, 987.8666666666667, 20.866666666666667,1.5999999999999992,0.956666666666666, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA W MACIEJOWICACH, , 48-385, MACIEJOWICE,17.13497,50.4998, 55.800000000000004, 977.9666666666667, 22.03333333333333,0.0,0.0, 2026-07-23 12:49:12
TEST SZKOŁA, ul Testowa, 00-000, TESTCITY,-157.52969778504766,1.8586845937815497, 99.90000000000002, 994.9333333333334, 17.3,2.6999999999999997,1.303333333333333, 2026-07-23 12:49:12
ZESPÓŁ EDUKACYJNY W KONOTOPIE, PL. POWSTAŃCÓW WIELKOPOLSKICH, 67-416, KONOTOP,15.9031,51.93023, 82.83333333333333, 1004.4333333333334, 17.233333333333334,6.2,3.636666666666666, 2026-07-23 12:49:12
PRZEDSZKOLE NR 6 W BOCHNI, MUROWIANKA, 32-700, BOCHNIA,20.4415,49.96533, 58.73333333333333, 999.6333333333333, 19.599999999999998,3.9,1.873333333333333, 2026-07-23 12:49:12
PUBLICZNA SZKOŁA PODSTAWOWA W SZYMISZOWIE, SZKOLNA, 47-161, SZYMISZÓW,18.21983,50.53656, 80.33333333333333, 989.5666666666666, 18.933333333333334,2.6,1.589999999999999, 2026-07-23 12:49:12
PUBLICZNA SZKOŁA PODSTAWOWA W ROZMIERCE, SZKOLNA, 47-171, ROZMIERKA,18.26905,50.56072, 7.066666666666666, 1017.4, 19.3,1.033333333333333,0.5566666666666661, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KUROWICACH FILIA W WOLI RAKOWEJ, SZKOLNA, 95-006, WOLA RAKOWA,19.61157,51.67447, 99.90000000000002, 986.6, 17.733333333333334,0.1,0.066666666666666, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 8 IM. JÓZEFA WESZKI W RUDOŁTOWICACH, KRZYWOŃ, 43-220, RUDOŁTOWICE,19.00171,49.95711, 99.9, 992.175, 21.35,2.7,1.53, 2026-07-23 12:49:12
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W WIŚLE WIELKIEJ, HODOWCÓW, 43-243, WISŁA WIELKA,18.8532,49.95291, 99.06666666666668, 985.9333333333334, 18.566666666666666,4.6,2.313333333333333, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA IM. MARKA PRAWEGO W JEMIELNICY, SZKOLNA, 47-133, JEMIELNICA,18.380122,50.548993, 78.0, 991.8333333333334, 18.833333333333332,3.533333333333333,1.903333333333333, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 2 IM. ŚW. JADWIGI ŚLĄSKIEJ W PSZCZYNIE, KATOWICKA, 43-200, PSZCZYNA,18.947994,49.992568, 85.475, 990.0, 17.7,1.475,0.7175, 2026-07-23 12:49:12
ZESPÓŁ SZKÓŁ SPECJALNYCH W OSTROWCU ŚWIĘTOKRZYSKIM, IŁZECKA, 27-400, OSTROWIEC ŚWIĘTOKRZYSKI,21.386931,50.942931, 99.90000000000002, 1001.6666666666666, 21.96666666666667,2.666666666666666,1.443333333333333, 2026-07-23 12:49:12
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W JANKOWICACH, BAZIOWA, 43-215, JANKOWICE,18.989423,50.002529, 29.0, 936.9, 23.3,28.0,17.0, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 4 IM. JÓZEFA PUKOWCA W PSZCZYNIE, ZYGMUNTA KRASIŃSKIEGO, 43-200, PSZCZYNA,18.961125,49.971182, 84.36666666666667, 984.7666666666668, 19.433333333333334,5.3,3.006666666666666, 2026-07-23 12:49:12
ZESPÓŁ SZKÓŁ W OTMUCHOWIE, KRAKOWSKA, 48-385, OTMUCHÓW,17.167634,50.4705, 54.333333333333336, 984.4333333333334, 19.933333333333334,0.3,0.156666666666666, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 60IM. IGNACEGO ŁUKASZEWICZA W CZECHOWICACH-DZIEDZICACH, UL. ŁUKASIEWICZA, 43-502, CZECHWICE-DZIEDZICE,19.016493,49.899404, 81.625, 975.425, 19.725,4.075,2.295, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 4 IM. GUSTAWA MORCINKA W SŁUPSKU, UL. LESZCZYŃSKIEGO, 76-200, SŁUPSK,17.005017,54.475286, 86.65, 1003.8, 17.125,2.275,1.1625, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA W KLESZCZOWIE, UL. SZKOLNA, 44-164, KLESZCZÓW,18.52751,50.344057, 61.9, 992.9, 21.2,0.0,0.0, 2026-07-23 12:49:12
SZKOŁA PODSTAWOWA NR 5 IM. GRYFITÓW W SŁUPSKU, UL. HUBALCZYKÓW, 76-200, SŁUPSK,17.062723,54.455744, 85.65, 1002.225, 16.6,1.325,0.7775000000000001, 2026-07-23 12:49:12
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W POTĘPIE, UL. TARNOGÓRSKA, 42-693, POTĘPA,18.662519,50.565309, 99.9, 1007.675, 16.625,1.8,0.97, 2026-07-23 12:49:12
