NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP,ERROR1,ERROR2
TECHNIKUM W ZESPOLE SZKÓŁ IM. BOHATERÓW WESTERPLATTE W JABŁONCE, UL. PODHALAŃSKA, 34-480, JABŁONKA, 19.69526927, 49.47987225, 68.47500000000001, 946.8333333333334, 13.491666666666667,5.5,5.233333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 6 IM. TADEUSZA KOŚCIUSZKI W CIECHANOWIE, UL. WIKLINOWA, 06-400, CIECHANÓW, 20.60584577, 52.87824598, 63.958333333333336, 998.8166666666666, 16.216666666666665,0.891666666666666,0.766666666666666, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA W BACZYNIE, None, 34-211, BACZYN, 19.7182581, 49.7900852, 63.449999999999996, 972.0666666666666, 16.45,1.833333333333333,1.533333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA IM. ŚW. FRANCISZKA Z ASYŻU W JELNEJ, None, 37-310, JELNA, 22.3518669, 50.2962689, 65.89999999999999, 995.475, 16.083333333333332,2.316666666666667,1.95, 2026-07-04 06:54:45,,
BRANŻOWA SZKOŁA I STOPNIA NR 3 W TARNOWSKICH GÓRACH, UL. HENRYKA SIENKIEWICZA, 42-600, TARNOWSKIE GÓRY, 18.8608006, 50.4472968, 71.63636363636364, 985.8909090909091, 15.2,1.109090909090909,1.063636363636363, 2026-07-04 06:54:45,,
PUBLICZNA SZKOŁA PODSTAWOWA W KRZESZOWIE GÓRNYM, None, 37-413, KRZESZÓW GÓRNY, 22.384137, 50.419185, 76.175, 994.1083333333335, 12.458333333333334,2.625,2.4, 2026-07-04 06:54:45,,
TECHNIKUM NR 5 W RYBNIKU, UL. JÓZEFA RYMERA, 44-270, RYBNIK, 18.4969188, 50.0607178, 66.22500000000001, 989.0416666666666, 17.216666666666665,2.074999999999999,1.833333333333333, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA Z ODDZIAŁAMI MISTRZOSTWA SPORTOWEGO NR 9 IM. ADAMA MICKIEWICZA W RYBNIKU, UL. CMENTARNA, 44-200, RYBNIK, 18.541821, 50.097862, 65.92, 990.9399999999999, 16.06,2.32,1.85, 2026-07-04 06:54:45,,
II LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA WYSPIAŃSKIEGO W BĘDZINIE, UL. TEATRALNA, 42-500, BĘDZIN, 19.1387173, 50.3262993, 72.45454545454545, 986.0636363636364, 14.945454545454545,3.563636363636364,2.772727272727273, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA NR 8 IM. KAWALERÓW ORDERU UŚMIECHU W ŚWIDNICY, UL. WAŁBRZYSKA, 58-100, ŚWIDNICA, 16.4766735, 50.8345375, 69.33333333333333, 990.25, 15.058333333333332,3.016666666666667,2.15, 2026-07-04 06:54:45,,
SZKOŁA PODSTAWOWA W WIADROWIE, None, 59-411, WIADRÓW, 16.177058, 50.978719, 71.925, 992.6333333333333, 14.258333333333333,2.0,1.825, 2026-07-04 06:54:45,,
